"Model","Mean_LogLoss","SD_LogLoss","Mean_MAE","SD_MAE"
"5-gene PCA + age",1.17294622888681,0.0454674959922412,0.838951052146184,0.0267643735921883
"3-gene PCA + age",1.17325228459948,0.0457764018381095,0.837955227667996,0.0261043328714314
"Age only",1.18700649394305,0.0298027076015019,0.861447057802907,0.0184674708832632
