"Gene","Beta_Gleason","SE","t_value","P_value","FDR"
"MYLK",NA,NA,NA,NA,NA
"PRKCB",NA,NA,NA,NA,NA
"MYLK4",NA,NA,NA,NA,NA
"PDGFC",NA,NA,NA,NA,NA
"VEGFD",NA,NA,NA,NA,NA
