"Model","Term","HR","SE","Z","P_value","CI_lower","CI_upper"
"Unadjusted","signature_clean",0.818595543017394,0.200618931028047,-0.997738142424066,0.318406352416826,0.552461771957647,1.21293218293358
"Adjusted","scale(signature_clean)",0.845339259417201,0.315693109480626,-0.532217006708015,0.594575705440824,0.455315648987199,1.56945728771143
"Adjusted","gleason_score",2.88581522041616,0.412292217259519,2.57052495231796,0.0101544511277668,1.28624810536948,6.47459028442521
"Adjusted","age_years",1.02797757399685,0.0509093869079433,0.542009112518983,0.587812228373526,0.930356704452589,1.13584164824418
