"Term","Estimate","SE","Z","P_value","OR","CI_lower","CI_upper"
"(Intercept)",-10.9302725889513,1.45599899529548,-7.50706052975889,6.04697720336826e-14,1.7907828596803e-05,1.03198067203307e-06,0.000310752258974669
"signature_clean",-0.0413204067522413,0.0739992811907195,-0.558389299022319,0.576578578427115,0.959521643476567,0.829975582012703,1.10928779623529
"gleason_score",1.24154262001357,0.151520625697045,8.19388525028891,2.52926206521249e-16,3.4609482769887,2.57168723108227,4.65770597264665
"age_years",0.0353265219328936,0.0166648252551262,2.11982552424466,0.0340207619435069,1.0359579165618,1.00266701460546,1.07035415472341
