"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05020","Prion disease",268,-0.371071242887247,-2.07223125268871,3.76743137440913e-12,4.74965455416579e-11,1.89787896304821e-11,3526,"tags=40%, list=16%, signal=34%","5687/5694/3309/539/5715/5690/5701/6389/514/4725/5530/29796/1350/374291/6647/2902/5717/4711/5714/203068/292/7386/4718/4700/5580/4722/7416/1460/7384/4720/5705/9167/5691/5685/4708/4713/4701/54205/1351/55967/1340/7381/126328/4728/5710/513/4717/518/7979/468/733/27089/4696/1345/581/509/506/5688/6300/10213/5709/4723/51079/293/4694/4712/4695/10383/1347/4726/6390/5682/4731/4706/11047/1329/5689/572/4709/54539/9861/5686/5692/517/5706/4707/10963/4705/5695/64837/1349/4702/5704/148327/10476/440567/1337/4715/5693/5684/516/7388/1537/9377/4716/5719/4710"
"hsa05146","Amoebiasis",98,0.645622985315929,2.29945061499045,4.53272988082162e-12,5.33351215976677e-11,2.13117825975473e-11,4656,"tags=56%, list=21%, signal=44%","5579/7414/87/1288/2774/1286/3910/5272/1284/3908/7099/7042/5293/338382/5295/1285/7097/1282/5578/3684/9630/1278/7043/913/911/3912/2335/1281/3689/3914/912/1287/7040/7850/81/929/1511/909/3913/3553/3592/5290/910/3586/2919/4790/23236/7124/2920/1277/3569/5330/6317/3576/2921"
"hsa04082","Neuroactive ligand signaling",178,0.566973184957219,2.12739578629134,4.41476577479323e-12,5.33351215976677e-11,2.13117825975473e-11,4843,"tags=46%, list=22%, signal=36%","5579/148/111/2775/3274/2774/54331/1812/146/2901/22953/109/55970/64805/2743/79627/5023/6512/3363/5578/2892/5179/5029/53829/6869/1816/9934/6507/2903/2771/55879/2898/147/6571/2791/2899/113/6865/60482/115/1139/3269/89832/2891/2564/10681/196883/3351/6530/3356/151/2556/2890/1137/6511/2793/2561/2568/136/3358/1813/1129/5443/23236/59345/9127/2784/57030/6529/2900/2916/5031/5330/108/2893/5368/6536/6505/3354/1143/114"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",94,0.645477558213525,2.28746722963677,7.97254479462478e-12,9.07841391129855e-11,3.62757556020279e-11,5692,"tags=73%, list=26%, signal=54%","6376/1435/3572/1436/6387/729230/3560/7133/3587/2829/3579/1524/56477/1234/146433/6366/8809/6372/8793/8794/3606/7852/8740/1230/6352/6367/1233/1236/5197/6368/6363/6358/10563/57007/3570/10803/6374/6846/1235/2833/1232/3586/2919/6375/7124/6364/1237/6360/2920/6351/3558/6347/3577/11009/3569/3559/3561/8807/3576/58985/2921/7132/643/6357/51554/29949/2826/8795/8797"
"hsa04270","Vascular smooth muscle contraction",130,0.598615821190664,2.19210001294285,9.22451880402562e-12,1.01757973056908e-10,4.06607078861656e-11,2521,"tags=29%, list=12%, signal=26%","4638/10335/4660/5579/4629/148/1909/111/59/3778/3779/5592/800/4882/775/72/146/10398/4659/109/552/5321/391013/1908/9475/5578/3708/5588/94274/2977/147/801/10203/113/115/10672/4881/196883"
"hsa04022","cGMP-PKG signaling pathway",162,0.571386776739691,2.13011806008893,1.04303303693635e-11,1.11572927890464e-10,4.45825923283797e-11,4928,"tags=48%, list=23%, signal=37%","4638/6546/10335/493/8654/148/1909/111/3778/3779/5350/5592/3764/477/7225/4882/775/482/4208/146/10398/4659/109/5138/1910/9475/5294/4776/3708/4205/2977/2771/3667/147/801/155/146850/624/4773/481/4624/6722/113/488/115/6543/10672/9586/4881/196883/5139/4775/151/486/5532/10000/340156/23236/5581/778/6547/4209/4846/480/6093/3709/23533/5330/108/5997/2983/91807/5593/114/4880/5594/5533"
"hsa04670","Leukocyte transendothelial migration",110,0.616257503423109,2.22093859629702,1.1329295001084e-11,1.1762473927596e-10,4.70007904069738e-11,4306,"tags=50%, list=20%, signal=40%","5579/7414/83700/87/4478/58494/5010/4313/10398/5336/5293/5295/9475/6387/83593/5578/3684/7412/83692/5906/3688/2771/7409/1536/5908/3683/3702/10451/5880/3676/60/7852/3689/1003/5175/81/4688/1432/1535/10686/11069/653361/394/9071/3383/5290/149461/5781/9076/29119/4689/1499/6093/90952/2185"
"hsa05010","Alzheimer disease",376,-0.326292897442434,-1.87995473191715,1.75896045231896e-11,1.77403725619598e-10,7.088742875511e-11,4537,"tags=38%, list=21%, signal=30%","4704/776/60673/8883/7417/23130/5702/515/3831/10023/25800/498/8851/26100/1649/5664/522/5609/5534/4697/4714/8408/5970/10105/5687/5694/55334/5604/539/5715/5690/5701/6389/514/4725/5530/29796/55630/1350/374291/2902/5717/4711/5714/203068/292/7386/4718/4700/283375/4722/7416/1460/7384/4720/5705/9167/5691/5605/5685/4708/7922/4713/23401/4701/54205/1351/55967/1340/7381/5331/126328/208/4728/5710/513/4717/518/27173/7979/468/7186/27089/4696/1345/509/3265/506/5688/29985/10213/5709/4723/51079/293/4694/4712/4695/10383/1347/4726/6390/5682/4731/4706/11047/1329/5689/572/4709/54539/9861/5686/5692/517/5706/3028/1020/4707/4705/5695/64837/1349/51107/4702/5704/10476/440567/1337/4715/5693/8312/5684/1454/516/7388/1537/9377/4716/5719/1855/4710"
"hsa04630","JAK-STAT signaling pathway",136,0.585407881120981,2.15311626115662,4.01625084495609e-11,3.93815707852638e-10,1.5736187521173e-10,4728,"tags=49%, list=22%, signal=38%","2273/316/85480/894/3953/5156/1489/6777/5159/5293/5295/3716/3572/6776/3717/9466/3575/9180/3560/1439/1271/596/3587/3600/4352/1438/3566/3718/1441/9021/8554/9655/3598/3574/6654/1956/3594/6775/3601/3570/6774/6778/3592/10000/3976/5290/5781/149233/8651/3586/3597/3558/64109/11009/3569/3559/3561/50615/1154/6655/9306/1440/1387/58985/116379/338376"
"hsa04611","Platelet activation",123,0.600221486011057,2.18659460961067,4.78276255549036e-11,4.5630140056435e-10,1.82330066126802e-10,4916,"tags=51%, list=23%, signal=40%","4638/111/5592/3690/7094/5742/4659/5336/109/64805/5321/5293/5295/5023/10235/9475/3673/5294/3937/3708/1278/5906/3688/2977/2771/1281/54518/2534/5908/146850/695/60/113/2814/115/10672/196883/1432/6915/10125/10000/340156/5290/2212/23236/283748/4846/6093/1277/3709/2149/83706/2207/23533/5330/108/7450/2983/6850/91807/5593/114/5594"
